question,option1,option2,option3,option4,correct_answer
What is 1/3 + 2/3?, 1, 1/2, 2/3, 5/6, 1
What is 2/5 + 1/5?, 1/5, 3/5, 4/5, 1, 3/5
What is 5 × 6?, 30, 25, 35, 40, 30
What is 12 ÷ 4?, 2, 3, 4, 5, 3
What is 8 + 7?, 14, 15, 16, 17, 15
What is 25% of 200?, 25, 50, 75, 100, 50
What is the area of a rectangle with length 5 and width 4?, 15, 20, 25, 30, 20
What is 56 - 22?, 34, 33, 32, 36, 34
What is 3²?, 6, 9, 12, 15, 9
What is 45 + 55?, 90, 100, 110, 120, 100
What is 6 × 9?, 54, 56, 64, 58, 54
What is the perimeter of a square with side 4?, 12, 14, 16, 18, 16
What is 100 ÷ 5?, 15, 20, 25, 30, 20
What is 1/4 + 1/4?, 1/2, 3/4, 1, 2, 1/2
What is 3/5 - 1/5?, 1/5, 1/4, 2/5, 4/5, 2/5
What is 9 × 7?, 54, 63, 72, 81, 63
What is 72 ÷ 8?, 6, 7, 8, 9, 9
What is the next number in the sequence: 2, 4, 6, ...?, 7, 8, 10, 12, 8
What is the value of 5 + 3 × 2?, 11, 16, 10, 13, 11
What is 120 - 45?, 75, 70, 80, 90, 75
What is 15% of 200?, 30, 25, 20, 15, 30
What is the volume of a cube with side 3?, 9, 18, 27, 36, 27
What is 6 + 4 × 2?, 10, 14, 12, 8, 14
What is 1/2 - 1/4?, 1/4, 2/4, 1/2, 3/4, 1/4
What is the next prime number after 7?, 9, 10, 11, 12, 11
What is 25 × 4?, 80, 90, 100, 110, 100
What is 64 ÷ 8?, 6, 8, 10, 12, 8
What is the sum of the angles in a triangle?, 90°, 180°, 270°, 360°, 180°
What is 4²?, 8, 12, 16, 20, 16
What is 9 - 5?, 4, 5, 6, 3, 4
What is the range of the set {2, 4, 6, 8}?, 4, 5, 6, 8, 6
What is 30 + 20 - 5?, 40, 45, 50, 55, 45
What is the next number in the sequence: 1, 1, 2, 3, 5, ...?, 6, 7, 8, 9, 8
