question,option1,option2,option3,option4,correct_answer
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
What is a synonym for the word "beautiful"?,Ugly,Attractive,Plain,Common,Attractive
What is a synonym for the word "brave"?,Cowardly,Courageous,Timid,Frightened,Courageous
What is a synonym for the word "strong"?,Weak,Poweful,Frail,Fragile,Poweful
What is a synonym for the word "difficult"?,Challenging,Easy,Simple,Effortless,Challenging
What is a synonym for the word "quiet"?,Loud,Silent,Noisy,Boisterous,Silent
What is a synonym for the word "funny"?,Serious,Hilarious,Amusing,Boring,Hilarious
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
What is a synonym for the word "beautiful"?,Ugly,Attractive,Plain,Common,Attractive
What is a synonym for the word "brave"?,Cowardly,Courageous,Timid,Frightened,Courageous
What is a synonym for the word "strong"?,Weak,Poweful,Frail,Fragile,Poweful
What is a synonym for the word "difficult"?,Challenging,Easy,Simple,Effortless,Challenging
What is a synonym for the word "quiet"?,Loud,Silent,Noisy,Boisterous,Silent
What is a synonym for the word "funny"?,Serious,Hilarious,Amusing,Boring,Hilarious
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
What is a synonym for the word "beautiful"?,Ugly,Attractive,Plain,Common,Attractive
What is a synonym for the word "brave"?,Cowardly,Courageous,Timid,Frightened,Courageous
What is a synonym for the word "strong"?,Weak,Poweful,Frail,Fragile,Poweful
What is a synonym for the word "difficult"?,Challenging,Easy,Simple,Effortless,Challenging
What is a synonym for the word "quiet"?,Loud,Silent,Noisy,Boisterous,Silent
What is a synonym for the word "funny"?,Serious,Hilarious,Amusing,Boring,HilariousDo yo
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
What is a synonym for the word "beautiful"?,Ugly,Attractive,Plain,Common,Attractive
What is a synonym for the word "brave"?,Cowardly,Courageous,Timid,Frightened,Courageous
What is a synonym for the word "strong"?,Weak,Poweful,Frail,Fragile,Poweful
What is a synonym for the word "difficult"?,Challenging,Easy,Simple,Effortless,Challenging
What is a synonym for the word "quiet"?,Loud,Silent,Noisy,Boisterous,Silent
What is a synonym for the word "funny"?,Serious,Hilarious,Amusing,Boring,Hilarious
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
What is a synonym for the word "beautiful"?,Ugly,Attractive,Plain,Common,Attractive
What is a synonym for the word "brave"?,Cowardly,Courageous,Timid,Frightened,Courageous
What is a synonym for the word "strong"?,Weak,Poweful,Frail,Fragile,Poweful
What is a synonym for the word "difficult"?,Challenging,Easy,Simple,Effortless,Challenging
What is a synonym for the word "quiet"?,Loud,Silent,Noisy,Boisterous,Silent
What is a synonym for the word "funny"?,Serious,Hilarious,Amusing,Boring,Hilarious
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
What is a synonym for the word "beautiful"?,Ugly,Attractive,Plain,Common,Attractive
What is a synonym for the word "brave"?,Cowardly,Courageous,Timid,Frightened,Courageous
What is a synonym for the word "strong"?,Weak,Poweful,Frail,Fragile,Poweful
What is a synonym for the word "difficult"?,Challenging,Easy,Simple,Effortless,Challenging
What is a synonym for the word "quiet"?,Loud,Silent,Noisy,Boisterous,Silent
What is a synonym for the word "funny"?,Serious,Hilarious,Amusing,Boring,Hilarious
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
What is a synonym for the word "beautiful"?,Ugly,Attractive,Plain,Common,Attractive
What is a synonym for the word "brave"?,Cowardly,Courageous,Timid,Frightened,Courageous
What is a synonym for the word "strong"?,Weak,Poweful,Frail,Fragile,Poweful
What is a synonym for the word "difficult"?,Challenging,Easy,Simple,Effortless,Challenging
What is a synonym for the word "quiet"?,Loud,Silent,Noisy,Boisterous,Silent
What is a synonym for the word "funny"?,Serious,Hilarious,Amusing,Boring,Hilarious
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
What is a synonym for the word "beautiful"?,Ugly,Attractive,Plain,Common,Attractive
What is a synonym for the word "brave"?,Cowardly,Courageous,Timid,Frightened,Courageous
What is a synonym for the word "strong"?,Weak,Poweful,Frail,Fragile,Poweful
What is a synonym for the word "difficult"?,Challenging,Easy,Simple,Effortless,Challenging
What is a synonym for the word "quiet"?,Loud,Silent,Noisy,Boisterous,Silent
What is a synonym for the word "funny"?,Serious,Hilarious,Amusing,Boring,Hilarious
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
What is a synonym for the word "beautiful"?,Ugly,Attractive,Plain,Common,Attractive
What is a synonym for the word "brave"?,Cowardly,Courageous,Timid,Frightened,Courageous
What is a synonym for the word "strong"?,Weak,Poweful,Frail,Fragile,Poweful
What is a synonym for the word "difficult"?,Challenging,Easy,Simple,Effortless,Challenging
What is a synonym for the word "quiet"?,Loud,Silent,Noisy,Boisterous,Silent
What is a synonym for the word "funny"?,Serious,Hilarious,Amusing,Boring,Hilarious
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
What is a synonym for the word "beautiful"?,Ugly,Attractive,Plain,Common,Attractive
What is a synonym for the word "brave"?,Cowardly,Courageous,Timid,Frightened,Courageous
What is a synonym for the word "strong"?,Weak,Poweful,Frail,Fragile,Poweful
What is a synonym for the word "difficult"?,Challenging,Easy,Simple,Effortless,Challenging
What is a synonym for the word "quiet"?,Loud,Silent,Noisy,Boisterous,Silent
What is a synonym for the word "funny"?,Serious,Hilarious,Amusing,Boring,Hilarious
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
What is a synonym for the word "beautiful"?,Ugly,Attractive,Plain,Common,Attractive
What is a synonym for the word "brave"?,Cowardly,Courageous,Timid,Frightened,Courageous
What is a synonym for the word "strong"?,Weak,Poweful,Frail,Fragile,Poweful
What is a synonym for the word "difficult"?,Challenging,Easy,Simple,Effortless,Challenging
What is a synonym for the word "quiet"?,Loud,Silent,Noisy,Boisterous,Silent
What is a synonym for the word "funny"?,Serious,Hilarious,Amusing,Boring,Hilarious
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
What is a synonym for the word "beautiful"?,Ugly,Attractive,Plain,Common,Attractive
What is a synonym for the word "brave"?,Cowardly,Courageous,Timid,Frightened,Courageous
What is a synonym for the word "strong"?,Weak,Poweful,Frail,Fragile,Poweful
What is a synonym for the word "difficult"?,Challenging,Easy,Simple,Effortless,Challenging
What is a synonym for the word "quiet"?,Loud,Silent,Noisy,Boisterous,Silent
What is a synonym for the word "funny"?,Serious,Hilarious,Amusing,Boring,Hilarious
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
What is a synonym for the word "beautiful"?,Ugly,Attractive,Plain,Common,Attractive
What is a synonym for the word "brave"?,Cowardly,Courageous,Timid,Frightened,Courageous
What is a synonym for the word "strong"?,Weak,Poweful,Frail,Fragile,Poweful
What is a synonym for the word "difficult"?,Challenging,Easy,Simple,Effortless,Challenging
What is a synonym for the word "quiet"?,Loud,Silent,Noisy,Boisterous,Silent
What is a synonym for the word "funny"?,Serious,Hilarious,Amusing,Boring,Hilarious
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
What is a synonym for the word "beautiful"?,Ugly,Attractive,Plain,Common,Attractive
What is a synonym for the word "brave"?,Cowardly,Courageous,Timid,Frightened,Courageous
What is a synonym for the word "strong"?,Weak,Poweful,Frail,Fragile,Poweful
What is a synonym for the word "difficult"?,Challenging,Easy,Simple,Effortless,Challenging
What is a synonym for the word "quiet"?,Loud,Silent,Noisy,Boisterous,Silent
What is a synonym for the word "funny"?,Serious,Hilarious,Amusing,Boring,Hilarious
What is a synonym for the word "happy"?,Sad,Joyful,Angry,Tired,Joyful
What is a synonym for the word "sad"?,Joyful,Gloomy,Happy,Excited,Gloomy
What is a synonym for the word "fast"?,Slow,Quick,Steady,Lethargic,Quick
What is a synonym for the word "angry"?,Calm,Furious,Pleased,Content,Furious
