question,option1,option2,option3,option4,correct_answerWhat is 0.5 + 0.25?,0.75,0.85,0.65,0.95,0.75
What is 2.0 + 1.5?,3.5,3.0,4.0,2.5,3.5
What is 3.4 - 1.9?,1.5,2.0,1.8,1.2,1.5
What is 7.2 ÷ 2.4?,2.8,3.0,2.5,3.5,3.0
What is 5.5 x 3?,16.0,15.5,17.5,18.0,16.5
What is 8.0 - 3.4?,4.6,4.0,4.5,5.0,4.6
What is 1.8 + 2.2?,4.0,3.8,3.5,4.2,4.0
What is 9.0 ÷ 1.5?,6.0,5.5,6.5,7.0,6.0
What is 4.2 - 0.7?,3.5,3.8,3.0,4.0,3.5
What is 3.2 + 0.8?,4.0,3.5,4.5,4.2,4.0
What is 6.5 x 2?,13.0,12.5,13.5,14.0,13.0
What is 2.25 - 0.75?,1.5,1.25,1.75,1.0,1.5
What is 5.0 + 6.5?,11.5,12.0,11.0,10.5,11.5
What is 4.0 - 1.3?,2.7,2.5,2.3,2.9,2.7
What is 7.0 ÷ 1.0?,7.5,6.0,7.0,8.0,7.0
What is 10.0 x 0.2?,2.0,3.0,1.5,2.5,2.0
What is 5.2 - 3.6?,1.6,1.8,1.5,2.0,1.6
What is 8.4 + 1.6?,10.0,9.5,10.4,11.0,10.0
What is 3.9 ÷ 1.3?,3.0,2.5,2.7,2.9,3.0
What is 7.5 - 2.5?,5.0,5.5,6.0,4.5,5.0
What is 4.0 x 3.0?,12.0,11.0,12.5,10.0,12.0
What is 6.0 + 5.4?,11.4,11.0,10.5,12.0,11.4
What is 1.6 - 0.9?,0.7,0.8,0.9,1.0,0.7
What is 2.5 x 2?,5.0,4.5,5.5,6.0,5.0
What is 3.0 + 4.8?,7.8,7.5,8.0,7.0,7.8
What is 6.3 - 2.1?,4.2,4.0,3.9,4.5,4.2
What is 5.0 ÷ 0.5?,10.0,11.0,9.0,8.0,10.0
What is 2.7 + 1.3?,4.0,4.5,3.5,3.0,4.0
What is 8.8 - 3.3?,5.5,5.0,5.8,6.0,5.5
What is 12.0 ÷ 4?,3.0,4.5,2.5,2.0,3.0
What is 2.5 x 1.6?,4.0,4.5,3.5,4.2,4.0
What is 5.8 - 2.8?,3.0,2.5,3.2,3.5,3.0
What is 4.7 + 1.3?,6.0,6.5,6.2,5.9,6.0
What is 3.3 ÷ 1.1?,3.0,3.5,2.5,2.0,3.0
What is 10.0 - 4.4?,5.6,5.0,6.0,5.4,5.6
What is 1.0 x 7.0?,7.0,6.5,7.5,8.0,7.0
What is 4.5 + 4.5?,9.0,8.0,10.0,10.5,9.0
What is 3.5 - 1.7?,1.8,1.6,1.7,1.5,1.8
What is 6.0 ÷ 1.2?,5.0,4.5,5.5,6.0,5.0
What is 2.6 x 2?,5.2,5.0,4.8,6.0,5.2
What is 7.5 + 2.5?,10.0,9.0,11.0,10.5,10.0
What is 5.6 - 3.2?,2.4,2.5,2.0,2.3,2.4
What is 8.1 ÷ 2.7?,2.8,2.5,3.0,3.2,3.0
What is 4.0 x 2.5?,10.0,9.0,11.0,10.5,10.0
What is 1.9 + 2.1?,4.0,3.5,3.8,3.0,4.0
What is 3.2 - 1.4?,1.8,2.0,1.5,1.6,1.8
What is 9.4 ÷ 2?,4.7,4.5,5.0,4.2,4.7
What is 3.5 x 1.6?,5.6,5.0,4.8,5.2,5.6
What is 6.0 + 2.8?,8.8,9.0,8.5,8.0,8.8
What is 3.7 - 1.1?,2.6,2.5,2.8,2.9,2.6
What is 5.0 ÷ 0.4?,12.5,11.0,10.5,13.0,12.5
What is 8.0 + 2.7?,10.7,10.0,10.5,11.0,10.7
What is 4.6 - 2.1?,2.5,2.4,2.8,2.3,2.5
What is 7.6 ÷ 1.9?,4.0,4.5,4.7,3.5,4.0
What is 3.0 x 3?,9.0,8.5,9.5,10.0,9.0
What is 10.5 + 5.5?,16.0,15.5,14.0,16.5,16.0
What is 2.9 - 1.6?,1.3,1.2,1.1,1.0,1.3
What is 9.0 ÷ 3.0?,2.8,2.5,3.0,3.5,3.0
What is 1.2 x 9.0?,10.8,10.0,10.5,11.0,10.8
What is 4.3 + 1.2?,5.5,5.0,6.0,5.2,5.5
What is 2.8 - 0.8?,2.0,1.8,1.5,2.2,2.0
What is 6.4 ÷ 2.0?,3.2,3.0,4.0,3.5,3.2
What is 4.5 x 1.5?,6.75,7.0,6.5,7.5,6.75
What is 5.5 + 0.5?,6.0,6.5,5.8,6.2,6.0
What is 1.5 - 0.5?,1.0,1.2,1.3,1.4,1.0
What is 8.0 ÷ 4.0?,2.0,3.0,2.5,2.2,2.0
What is 5.5 x 2.0?,11.0,10.0,11.5,12.0,11.0
What is 3.4 + 4.6?,8.0,7.5,8.5,8.2,8.0
What is 7.2 - 2.2?,5.0,5.5,5.2,5.3,5.0
What is 12.0 ÷ 3.0?,4.0,5.0,3.5,4.5,4.0
What is 9.1 - 1.9?,7.2,7.0,7.5,7.4,7.2
What is 3.0 x 4.0?,12.0,11.0,12.5,13.0,12.0
What is 10.0 + 5.0?,15.0,14.5,16.0,15.5,15.0
What is 1.6 - 0.6?,1.0,1.1,1.2,1.3,1.0
What is 2.0 + 1.5?,3.5,3.0,4.0,2.5,3.5
What is 3.4 - 1.9?,1.5,2.0,1.8,1.2,1.5
What is 7.2 ÷ 2.4?,2.8,3.0,2.5,3.5,3.0
What is 5.5 x 3?,16.0,15.5,17.5,18.0,16.5
What is 8.0 - 3.4?,4.6,4.0,4.5,5.0,4.6
What is 1.8 + 2.2?,4.0,3.8,3.5,4.2,4.0
What is 9.0 ÷ 1.5?,6.0,5.5,6.5,7.0,6.0
What is 4.2 - 0.7?,3.5,3.8,3.0,4.0,3.5
What is 3.2 + 0.8?,4.0,3.5,4.5,4.2,4.0
What is 6.5 x 2?,13.0,12.5,13.5,14.0,13.0
What is 2.25 - 0.75?,1.5,1.25,1.75,1.0,1.5
What is 5.0 + 6.5?,11.5,12.0,11.0,10.5,11.5
What is 4.0 - 1.3?,2.7,2.5,2.3,2.9,2.7
What is 7.0 ÷ 1.0?,7.5,6.0,7.0,8.0,7.0
What is 10.0 x 0.2?,2.0,3.0,1.5,2.5,2.0
What is 5.2 - 3.6?,1.6,1.8,1.5,2.0,1.6
What is 8.4 + 1.6?,10.0,9.5,10.4,11.0,10.0
What is 3.9 ÷ 1.3?,3.0,2.5,2.7,2.9,3.0
What is 7.5 - 2.5?,5.0,5.5,6.0,4.5,5.0
What is 4.0 x 3.0?,12.0,11.0,12.5,10.0,12.0
What is 6.0 + 5.4?,11.4,11.0,10.5,12.0,11.4
What is 1.6 - 0.9?,0.7,0.8,0.9,1.0,0.7
