question,option1,option2,option3,option4,correct_answer
What is the antonym of "hot"?,Cold,Warm,Boiling,Chilly,Cold
What is the antonym of "love"?,Hate,Adore,Like,Regard,Hate
What is the antonym of "light"?,Dark,Heavy,Bright,Dull,Dark
What is the antonym of "fast"?,Slow,Quick,Fleet,Rapid,Slow
What is the antonym of "rich"?,Poor,Wealthy,Affluent,Lavish,Poor
What is the antonym of "clean"?,Dirty,Pure,Tidy,Neat,Dirty
What is the antonym of "full"?,Empty,Packed,Stuffed,Crammed,Empty
What is the antonym of "strong"?,Weak,Powerful,Sturdy,Tough,Weak
What is the antonym of "brave"?,Cowardly,Valiant,Courageous,Heroic,Cowardly
What is the antonym of "young"?,Old,Immature,Fresh,Vibrant,Old
What is the antonym of "hot"?,Cold,Warm,Boiling,Chilly,Cold
What is the antonym of "love"?,Hate,Adore,Like,Regard,Hate
What is the antonym of "light"?,Dark,Heavy,Bright,Dull,Dark
What is the antonym of "fast"?,Slow,Quick,Fleet,Rapid,Slow
What is the antonym of "rich"?,Poor,Wealthy,Affluent,Lavish,Poor
What is the antonym of "clean"?,Dirty,Pure,Tidy,Neat,Dirty
What is the antonym of "full"?,Empty,Packed,Stuffed,Crammed,Empty
What is the antonym of "strong"?,Weak,Powerful,Sturdy,Tough,Weak
What is the antonym of "brave"?,Cowardly,Valiant,Courageous,Heroic,Cowardly
What is the antonym of "young"?,Old,Immature,Fresh,Vibrant,Old
What is the antonym of "hot"?,Cold,Warm,Boiling,Chilly,Cold
What is the antonym of "love"?,Hate,Adore,Like,Regard,Hate
What is the antonym of "light"?,Dark,Heavy,Bright,Dull,Dark
What is the antonym of "fast"?,Slow,Quick,Fleet,Rapid,Slow
What is the antonym of "rich"?,Poor,Wealthy,Affluent,Lavish,Poor
What is the antonym of "clean"?,Dirty,Pure,Tidy,Neat,Dirty
What is the antonym of "full"?,Empty,Packed,Stuffed,Crammed,Empty
What is the antonym of "strong"?,Weak,Powerful,Sturdy,Tough,Weak
What is the antonym of "brave"?,Cowardly,Valiant,Courageous,Heroic,Cowardly
What is the antonym of "young"?,Old,Immature,Fresh,Vibrant,Old
What is the antonym of "hot"?,Cold,Warm,Boiling,Chilly,Cold
What is the antonym of "love"?,Hate,Adore,Like,Regard,Hate
What is the antonym of "light"?,Dark,Heavy,Bright,Dull,Dark
What is the antonym of "fast"?,Slow,Quick,Fleet,Rapid,Slow
What is the antonym of "rich"?,Poor,Wealthy,Affluent,Lavish,Poor
What is the antonym of "clean"?,Dirty,Pure,Tidy,Neat,Dirty
What is the antonym of "full"?,Empty,Packed,Stuffed,Crammed,Empty
What is the antonym of "strong"?,Weak,Powerful,Sturdy,Tough,Weak
What is the antonym of "brave"?,Cowardly,Valiant,Courageous,Heroic,Cowardly
What is the antonym of "young"?,Old,Immature,Fresh,Vibrant,Old
What is the antonym of "hot"?,Cold,Warm,Boiling,Chilly,Cold
What is the antonym of "love"?,Hate,Adore,Like,Regard,Hate
What is the antonym of "light"?,Dark,Heavy,Bright,Dull,Dark
What is the antonym of "fast"?,Slow,Quick,Fleet,Rapid,Slow
What is the antonym of "rich"?,Poor,Wealthy,Affluent,Lavish,Poor
What is the antonym of "clean"?,Dirty,Pure,Tidy,Neat,Dirty
What is the antonym of "full"?,Empty,Packed,Stuffed,Crammed,Empty
What is the antonym of "strong"?,Weak,Powerful,Sturdy,Tough,Weak
What is the antonym of "brave"?,Cowardly,Valiant,Courageous,Heroic,Cowardly
What is the antonym of "young"?,Old,Immature,Fresh,Vibrant,Old
What is the antonym of "hot"?,Cold,Warm,Boiling,Chilly,Cold
What is the antonym of "love"?,Hate,Adore,Like,Regard,Hate
What is the antonym of "light"?,Dark,Heavy,Bright,Dull,Dark
What is the antonym of "fast"?,Slow,Quick,Fleet,Rapid,Slow
What is the antonym of "rich"?,Poor,Wealthy,Affluent,Lavish,Poor
What is the antonym of "clean"?,Dirty,Pure,Tidy,Neat,Dirty
What is the antonym of "full"?,Empty,Packed,Stuffed,Crammed,Empty
What is the antonym of "strong"?,Weak,Powerful,Sturdy,Tough,Weak
What is the antonym of "brave"?,Cowardly,Valiant,Courageous,Heroic,Cowardly
What is the antonym of "young"?,Old,Immature,Fresh,Vibrant,Old
